Date,DLS_LS,Cumulative DLS_LS,RSI_L,Cumulative RSI_L,DLS_L,Cumulative DLS_L
2018-09-10,0.010466528218210657,0.02237294788262245,0.005808295919905982,0.005808295919905948,0.0031600042686691825,0.03746839876811103
2018-09-17,0.003038878876122101,0.025479815437461806,0.016523275692200922,0.02242754368689326,0.018609581542834226,0.056775251533099924
2018-09-24,0.0005532734753688814,0.026047186218869367,-0.010899339752641932,0.011283758515790776,0.0005799146863429304,0.057388091021627785
2018-10-01,0.011310421640890952,0.03765221251845463,-0.009724566906084225,0.001449461945067565,-0.0009120217515136333,0.05642373008282453
2018-10-08,-0.004806048209541726,0.03266520596035316,-0.005804539704492177,-0.004363491218834836,-0.04224916288087073,0.011790711839338108
2018-10-15,0.015331367124131058,0.048497375349247696,0.01708530283609802,0.012647260048366693,0.011988320160392755,0.023920382828179765
2018-10-22,-0.03611333279645909,0.010632640697046503,-0.021,-0.008618332412648977,-0.04084007081270979,-0.01789659811310007
2018-10-29,-0.009863321749768564,0.0006644457910331969,-0.005249460064745473,-0.013822550885569496,0.01600617022318962,-0.0021768838857246786
2018-11-05,0.035330808669210026,0.036018729867357324,0.010731660462901953,-0.003239229345502692,0.035094151366011336,0.032840871587694664
2018-11-12,-0.022914909326202833,0.012278454612199008,-0.021,-0.02417120552924712,-0.02569211358820122,0.006305006596326823
2018-11-19,-0.004532076547056776,0.007690731168960241,-0.015065787029031014,-0.03887283432353961,-0.017925048029701865,-0.011733058979441768
2018-11-26,0.013713630326182339,0.021509829339331876,0.014464107123201585,-0.024970988040176056,0.037700508943425186,0.025525107668995295
2018-12-03,0.04987936773103177,0.07246209375781199,-0.021,-0.04544659729133238,-0.018186932009295713,0.00687395226199361
2018-12-10,-0.010705012796961053,0.06098137331987896,-0.0017649406875431817,-0.04713132743020565,-0.01213853445989602,-0.005348021904310274
2018-12-17,0.035163588033877875,0.09828928524291713,-0.021,-0.06714156955417139,-0.04933611030997519,-0.05442028161567425
2018-12-24,-0.01600960550632408,0.08070610705435532,0.002290163402013435,-0.06500517131750472,0.016516592428270156,-0.03880252679868179
2018-12-31,0.010280621728454845,0.0918164377406121,-0.015643021254718018,-0.0796313152956365,0.004081960660043697,-0.034878956526540605
2019-01-07,0.016422130571469108,0.10974638984126472,0.05020808472222835,-0.033421366398313945,0.03460067372327521,-0.0014851181978485783
2019-01-14,-0.006441844178857569,0.10259757651985768,0.01956911105412996,-0.014506281774813279,0.019130775262761208,0.01761724560243083
2019-01-21,-0.019610201030817127,0.08097541638821149,-0.013007483371574733,-0.027325074927418758,-0.002060023006375258,0.015520930664805643
2019-01-28,-0.02391551461666196,0.05512333301732686,0.04110251802155995,0.012654313709496323,0.004693863638079602,0.02028764743496181
2019-02-04,-0.017644243233266625,0.03650648028847425,0.009551830238884371,0.022327015804723516,-0.010401016629448697,0.009675618647169593
2019-02-11,0.04494377320748219,0.08309099246664498,0.02253703809790852,0.04536723870843562,0.048288761491285324,0.05843160377958867
2019-02-18,0.00395857361050803,0.08737848788720237,0.011184858463037885,0.05705952331528619,0.010563507184461956,0.06961235363037588
2019-02-25,0.00128920344481515,0.08878033997960433,-0.00682665559765845,0.04984334200338769,-0.006210257160043839,0.06296978585277158
2019-03-04,0.005143750626206558,0.0943807545351758,-0.021,0.02779663182131653,-0.02462167122728392,0.03679769326096838
2019-03-11,0.008180530492188202,0.10333336966771478,0.027881383866888335,0.05645302425022147,0.027258609944773977,0.06505935717321054
2019-03-18,-0.022531383027451307,0.07847374290876297,0.005306933197852385,0.06205954987658657,-0.03350570070442938,0.029373797119313094
2019-03-25,0.018646072714114708,0.09858304273930307,0.020473582356039,0.08380371353800253,0.028656224169637964,0.058871763403915534
2019-04-01,0.006549505919051465,0.1057782188802936,0.00846864391692229,0.09298206126379394,0.014979520447792893,0.07473315463541508
2019-04-08,-0.010198760832468193,0.09450065129218088,-0.009848250578505843,0.08221810004665642,0.012339629178440305,0.08799496322939149
2019-04-15,-0.03933046980483641,0.051453426475159825,-0.012797829643037446,0.06836805716564776,-0.036038272798161616,0.048785503941504826
2019-04-22,-0.010829282365164644,0.04006694042604031,0.010610915636920414,0.07970442048941306,0.009837625113155241,0.05910306255339304
2019-04-29,-0.016455101612019546,0.022952533238027595,-0.01089568005242084,0.0679403065725761,-0.016833122511825387,0.041275050948782255
2019-05-06,0.009789831910539067,0.032967066590888106,-0.016275093940073253,0.05055947776071679,-0.002717524820435739,0.03844536015292843
2019-05-13,-0.027916656166552426,0.004130080161498073,0.011145161407684897,0.062268132708733104,-0.010316218686984586,0.02773253072310622
2019-05-20,-0.034684111362861515,-0.030697279361622365,-0.00023238251838973538,0.06202128016484898,-0.02404725208527274,0.003018387480572482
2019-05-27,-0.006616336495077931,-0.03711051232696039,-0.01966383310224402,0.0411378709606558,-0.022083926520465667,-0.01913219688722445
2019-06-03,-0.003469676329297118,-0.040451427190068556,0.03399357943428725,0.07652987387920152,0.03919614872990162,0.019314043407955728
2019-06-10,-0.016157451809917935,-0.05595528701452057,0.003965211465970533,0.0807985424785671,-0.017605501233497668,0.001368508759415521
2019-06-17,0.02521308771586849,-0.03215300485831574,0.010892577396037873,0.09257122425203979,0.03344585434604837,0.034860134050102465
2019-06-24,0.013868839145348807,-0.018730090565386548,-0.012912725519991428,0.07846315192223208,0.013578488085046088,0.04891197004999093
2019-07-01,0.017040627144228954,-0.0020086359108599794,0.004711104817584293,0.08354390487284014,0.013342665092642463,0.06290725117803175
